Name,shape,year,Brand,Link,cost,sales,Colorway,color,category,size,default
Pegasus All Court,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-all-court?sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Pegasus Power Royal Burst,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-power-royal-burst?sca_ref=10748848.AHQuNeZGEN,$,100.0,Royal,purple,paddle,16mm,
Black Opal,Elongated,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/black-opal-14mm?sca_ref=10749425.u187ARTBJn,$$$,100.0,Black,black,paddle,14mm,
Coral,Hybrid,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129476381&sca_ref=10749425.u187ARTBJn,$$,100.0,Ocean Blue ,blue,paddle,16mm,
Coral,Hybrid,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129509149&sca_ref=10749425.u187ARTBJn,$$,100.0,Carol Pink ,pink,paddle,16mm,
Coral,Hybrid,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129541917&sca_ref=10749425.u187ARTBJn,$$,100.0,Black ,black,paddle,16mm,
Coral,Elongated,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129476381&sca_ref=10749425.u187ARTBJn,$$,100.0,Ocean Blue ,blue,paddle,16mm,
Coral,Elongated,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129476381&sca_ref=10749425.u187ARTBJn,$$,100.0,Carol Pink ,pink,paddle,16mm,
Coral,Elongated,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129476381&sca_ref=10749425.u187ARTBJn,$$,100.0,Black ,black,paddle,16mm,
Coral,Widebody,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/coral-16mm?variant=50729129574685&sca_ref=10749425.u187ARTBJn,$$,100.0,Ocean Blue ,blue,paddle,16mm,
Ruby Pro,Elongated,2026.0,6.0,https://us.sixzeropickleball.com/collections/paddles/products/ruby-pro-14mm&sca_ref=10749425.u187ARTBJn,$$$,100.0,Red,red,paddle,14mm,
Ruby,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/ruby&sca_ref=10749425.u187ARTBJn,$$,100.0,Red & White ,red,paddle,16mm,
Black Diamond Power,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/black-diamond-power?variant=50523752923421&sca_ref=10749425.u187ARTBJn,$$,100.0,Grey with Red Highlights ,grey,paddle,16mm,
Black Diamond Power,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/black-diamond-power?variant=50523752988957&sca_ref=10749425.u187ARTBJn,$$,100.0,Grey with Red Highlights ,grey,paddle,14mm,
Black Diamond Power,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/black-diamond-power?variant=50523752956189&sca_ref=10749425.u187ARTBJn,$$,100.0,Amethyst,purple,paddle,16mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652863773&sca_ref=10749425.u187ARTBJn,$,100.0,Smokey,black,paddle,15mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652863773&sca_ref=10749425.u187ARTBJn,$,100.0,Prasiolite,light blue,paddle,15mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652765469&sca_ref=10749425.u187ARTBJn,$,100.0,White ,white,paddle,15mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652831005&sca_ref=10749425.u187ARTBJn,$,100.0,Rose,light pink,paddle,15mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652798237&sca_ref=10749425.u187ARTBJn,$,100.0,Amethyst,purple,paddle,15mm,
Quartz,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/quartz?variant=48988652896541&sca_ref=10749425.u187ARTBJn,$,100.0,Citrine,yellow,paddle,15mm,
Sapphire,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/sapphire?variant=48988646703389&sca_ref=10749425.u187ARTBJn,$,100.0,Neon,green,paddle,13mm,
Sapphire,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/sapphire?variant=48988646670621&sca_ref=10749425.u187ARTBJn,$,100.0,Blue,blue,paddle,13mm,
Infinity Edgeless Black Diamond Power,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/infinity-edgless-black-diamond-power?variant=48988642869533&sca_ref=10749425.u187ARTBJn,$$$,100.0,Grey and Red,grey,paddle,16mm,
Infinity Edgeless Black Diamond Power,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/infinity-edgless-black-diamond-power?variant=48988642902301&sca_ref=10749425.u187ARTBJn,$$$,100.0,Amethyst,purple,paddle,16mm,
Infinity Edgeless Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/infinity-edgeless-series?variant=48988643492125&sca_ref=10749425.u187ARTBJn,$$$,100.0,White,white,paddle,16mm,
Infinity Edgeless Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/infinity-edgeless-series?variant=48988643459357&sca_ref=10749425.u187ARTBJn,$$$,100.0,Cherry Blossom Pink,pink,paddle,16mm,
Double Black Diamond Control Light Weight Edition,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644442397&sca_ref=10749425.u187ARTBJn,$$,100.0,Black,black,paddle,16mm,
Double Black Diamond Control Pro Weight Edition,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644409629&sca_ref=10749425.u187ARTBJn,$$,100.0,Black,black,paddle,16mm,
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644278557&sca_ref=10749425.u187ARTBJn,$$,100.0,Australian Green and Gold,green,paddle,16mm,checked
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644311325&sca_ref=10749425.u187ARTBJn,$$,100.0,Black,black,paddle,16mm,
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644344093&sca_ref=10749425.u187ARTBJn,$$,100.0,Cherry Blossom Pink on Pink,pink,paddle,16mm,
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644376861&sca_ref=10749425.u187ARTBJn,$$,100.0,Cherry Blossom Pink on Black,pink,paddle,16mm,
Double Black Diamond Control,Elongated,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644475165&sca_ref=10749425.u187ARTBJn,$$,100.0,White,white,paddle,15mm,
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644507933&sca_ref=10749425.u187ARTBJn,$$,100.0,Cherry Blossom Pink on Pink,pink,paddle,14mm,
Double Black Diamond Control,Hybrid,,6.0,https://us.sixzeropickleball.com/collections/paddles/products/double-black-diamond?variant=48988644507933&sca_ref=10749425.u187ARTBJn,$$,100.0,Cherry Blossom Pink on Black,pink,paddle,14mm,
